project,timestamp,ntasks,nchunks,nfound,seconds
mcs_prime_stoch_trigger,2026-06-17 10:35:31.380,24,1,24,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.384,36,1,36,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.387,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.393,84,1,84,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.399,72,1,72,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.403,13,1,13,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.406,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.410,12,1,12,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.413,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.419,72,1,72,0.005
mcs_prime_stoch_trigger,2026-06-17 10:35:31.424,36,1,36,0.005
mcs_prime_stoch_trigger,2026-06-17 10:35:31.427,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.430,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-17 10:35:31.435,36,1,36,0.004
mcs_prime_stoch_trigger,2026-06-17 10:35:31.443,96,1,96,0.008
mcs_prime_stoch_trigger,2026-06-17 10:35:31.449,10,1,10,0.006
mcs_prime_stoch_trigger,2026-06-17 10:35:31.459,60,1,60,0.009
mcs_prime_stoch_trigger,2026-06-17 10:35:31.466,5,1,5,0.007
mcs_prime_stoch_trigger,2026-06-18 14:02:49.699,36,1,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:02:49.706,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:02:49.711,36,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:02:49.713,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:03:44.995,1,1,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:04:34.556,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:04:34.560,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:05:44.891,36,1,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:05:44.897,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:05:44.900,36,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:05:44.902,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:06:03.459,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:06:03.461,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:06:37.142,1,1,1,0.002
mcs_prime_stoch_trigger,2026-06-18 14:06:37.143,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:09:08.115,1,1,1,0.003
mcs_prime_stoch_trigger,2026-06-18 14:09:08.116,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:09:51.100,1,1,1,0.002
mcs_prime_stoch_trigger,2026-06-18 14:09:51.101,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:10:07.652,3,1,1,0.004
mcs_prime_stoch_trigger,2026-06-18 14:10:07.657,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:14:20.099,3,1,3,0.003
mcs_prime_stoch_trigger,2026-06-18 14:14:20.102,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:14:45.393,3,1,3,0.004
mcs_prime_stoch_trigger,2026-06-18 14:14:45.397,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:14:45.402,3,1,3,0.003
mcs_prime_stoch_trigger,2026-06-18 14:14:45.404,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:14:57.910,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:14:57.915,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:14:57.917,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:14:57.920,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:20:15.756,36,1,3,0.008
mcs_prime_stoch_trigger,2026-06-18 14:20:15.768,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:20:15.775,36,1,3,0.003
mcs_prime_stoch_trigger,2026-06-18 14:20:15.777,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:20:42.248,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:20:42.253,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:22:34.805,36,1,3,0.009
mcs_prime_stoch_trigger,2026-06-18 14:22:34.820,12,1,0,0.010
mcs_prime_stoch_trigger,2026-06-18 14:22:34.857,36,1,3,0.008
mcs_prime_stoch_trigger,2026-06-18 14:22:34.866,12,1,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:22:37.757,3,1,3,0.008
mcs_prime_stoch_trigger,2026-06-18 14:22:37.761,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:22:37.767,3,1,3,0.003
mcs_prime_stoch_trigger,2026-06-18 14:22:37.770,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:22:57.324,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:22:57.328,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:23:00.508,36,1,3,0.006
mcs_prime_stoch_trigger,2026-06-18 14:23:00.532,12,1,0,0.020
mcs_prime_stoch_trigger,2026-06-18 14:23:00.547,36,1,3,0.005
mcs_prime_stoch_trigger,2026-06-18 14:23:00.550,12,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:23:26.818,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:23:26.825,1,1,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:23:37.309,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:23:37.312,1,1,1,0.002
mcs_prime_stoch_trigger,2026-06-18 14:26:42.454,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:26:42.458,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:27:30.293,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:27:30.298,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:28:05.687,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:28:05.692,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:28:47.905,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:28:47.927,1,1,0,0.019
mcs_prime_stoch_trigger,2026-06-18 14:28:57.188,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:28:57.212,1,1,0,0.022
mcs_prime_stoch_trigger,2026-06-18 14:31:01.735,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:31:01.756,1,1,0,0.009
mcs_prime_stoch_trigger,2026-06-18 14:31:14.038,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:31:14.043,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:36:26.000,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:36:26.005,1,1,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:36:35.257,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:36:35.263,1,1,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:37:36.727,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:37:36.731,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:37:48.502,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:37:48.506,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:39:13.816,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:39:13.820,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:39:23.013,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:39:23.017,1,1,0,0.003
mcs_prime_stoch_trigger,2026-06-18 14:40:14.411,36,1,3,0.010
mcs_prime_stoch_trigger,2026-06-18 14:40:14.418,12,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:40:14.424,1,1,0,0.002
mcs_prime_stoch_trigger,2026-06-18 14:40:36.311,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:40:36.333,1,1,0,0.012
mcs_prime_stoch_trigger,2026-06-18 14:40:47.765,0,0,0,0.000
mcs_prime_stoch_trigger,2026-06-18 14:40:47.771,1,1,1,0.003
mcs_prime_stoch_trigger,2026-06-18 14:43:55.394,36,1,3,0.009
mcs_prime_stoch_trigger,2026-06-18 14:43:55.405,12,1,1,0.002
mcs_prime_stoch_trigger,2026-06-18 14:48:38.398,36,1,3,0.009
mcs_prime_stoch_trigger,2026-06-18 14:48:38.429,12,1,1,0.004
mcs_prime_stoch_trigger,2026-06-18 14:53:51.323,36,1,36,0.006
mcs_prime_stoch_trigger,2026-06-18 14:53:51.332,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-18 15:46:35.986,144,1,36,0.012
mcs_prime_stoch_trigger,2026-06-18 15:46:36.048,48,1,12,0.006
mcs_prime_stoch_trigger,2026-06-18 15:46:36.078,144,1,36,0.010
mcs_prime_stoch_trigger,2026-06-18 15:46:36.082,48,1,12,0.003
mcs_prime_stoch_trigger,2026-06-18 15:46:52.728,144,1,36,0.009
mcs_prime_stoch_trigger,2026-06-18 15:46:52.735,48,1,12,0.003
mcs_prime_stoch_trigger,2026-06-18 15:47:47.573,144,1,36,0.010
mcs_prime_stoch_trigger,2026-06-18 15:47:47.591,48,1,12,0.003
mcs_prime_stoch_trigger,2026-06-18 15:52:36.210,144,1,144,0.008
mcs_prime_stoch_trigger,2026-06-18 15:52:36.215,48,1,48,0.002
mcs_prime_stoch_trigger,2026-06-18 16:03:27.207,144,1,144,0.013
mcs_prime_stoch_trigger,2026-06-18 16:03:27.214,48,1,48,0.004
mcs_prime_stoch_trigger,2026-06-18 16:03:27.221,144,1,144,0.006
mcs_prime_stoch_trigger,2026-06-18 16:03:27.224,48,1,48,0.002
mcs_prime_stoch_trigger,2026-06-18 16:03:52.412,144,1,144,0.012
mcs_prime_stoch_trigger,2026-06-18 16:03:52.418,48,1,48,0.004
mcs_prime_stoch_trigger,2026-06-18 16:05:59.035,144,1,144,0.009
mcs_prime_stoch_trigger,2026-06-18 16:05:59.041,48,1,48,0.004
mcs_prime_stoch_trigger,2026-06-18 16:12:25.221,144,1,144,0.004
mcs_prime_stoch_trigger,2026-06-18 16:12:25.226,48,1,48,0.002
mcs_prime_stoch_trigger,2026-06-18 16:12:33.060,144,1,144,0.017
mcs_prime_stoch_trigger,2026-06-18 16:12:33.067,48,1,48,0.005
mcs_prime_stoch_trigger,2026-06-18 16:28:19.836,144,1,144,0.018
mcs_prime_stoch_trigger,2026-06-18 16:28:19.844,48,1,48,0.006
mcs_prime_stoch_trigger,2026-06-18 16:28:19.848,144,1,144,0.003
mcs_prime_stoch_trigger,2026-06-18 16:28:19.851,48,1,48,0.002
mcs_prime_stoch_trigger,2026-06-18 16:29:44.835,144,1,144,0.018
mcs_prime_stoch_trigger,2026-06-18 16:29:44.843,48,1,48,0.006
mcs_prime_stoch_trigger,2026-06-18 16:30:34.722,12,1,12,0.008
mcs_prime_stoch_trigger,2026-06-18 16:30:34.728,4,1,4,0.003
mcs_prime_stoch_trigger,2026-06-18 16:32:16.139,12,1,12,0.002
mcs_prime_stoch_trigger,2026-06-18 16:32:16.143,4,1,4,0.002
wescon-tools,2026-06-30 15:59:35.942,774,1,0,0.010
wescon-tools,2026-06-30 15:59:35.968,774,1,0,0.005
wescon-tools,2026-06-30 15:59:35.975,18,1,0,0.004
wescon-tools,2026-06-30 15:59:35.983,774,1,0,0.006
wescon-tools,2026-06-30 15:59:35.990,774,1,0,0.006
wescon-tools,2026-06-30 15:59:35.994,18,1,0,0.004
wescon-tools,2026-06-30 16:00:27.249,774,1,0,0.006
wescon-tools,2026-06-30 16:00:27.267,774,1,0,0.005
wescon-tools,2026-06-30 16:00:27.273,18,1,0,0.002
wescon-tools,2026-06-30 16:01:06.454,774,1,0,0.006
wescon-tools,2026-06-30 16:01:06.474,774,1,0,0.005
wescon-tools,2026-06-30 16:01:06.553,18,1,0,0.003
wescon-tools,2026-06-30 16:01:06.558,1,1,0,0.002
wescon-tools,2026-06-30 16:01:08.075,774,1,0,0.009
wescon-tools,2026-06-30 16:01:08.097,774,1,0,0.007
wescon-tools,2026-06-30 16:01:08.105,18,1,0,0.005
wescon-tools,2026-06-30 16:01:08.114,774,1,0,0.006
wescon-tools,2026-06-30 16:01:08.120,774,1,0,0.005
wescon-tools,2026-06-30 16:01:08.126,18,1,0,0.005
wescon-tools,2026-06-30 16:01:11.307,1,1,0,0.005
wescon-tools,2026-06-30 16:01:36.057,774,1,0,0.006
wescon-tools,2026-06-30 16:01:36.076,774,1,0,0.006
wescon-tools,2026-06-30 16:01:36.084,18,1,0,0.004
wescon-tools,2026-06-30 16:01:36.089,1,1,0,0.003
wescon-tools,2026-06-30 16:01:38.567,1,1,0,0.003
wescon-tools,2026-06-30 16:01:58.283,1,1,0,0.006
wescon-tools,2026-06-30 16:02:09.850,1,1,0,0.003
wescon-tools,2026-06-30 16:05:18.333,774,1,0,0.008
wescon-tools,2026-06-30 16:05:18.338,774,1,0,0.004
wescon-tools,2026-06-30 16:05:18.342,18,1,0,0.002
wescon-tools,2026-06-30 16:05:18.793,1465,2,0,0.009
wescon-tools,2026-06-30 16:05:18.798,18,1,0,0.003
wescon-tools,2026-06-30 16:05:18.802,18,1,0,0.004
wescon-tools,2026-06-30 16:05:18.807,216,1,0,0.004
wescon-tools,2026-06-30 16:05:18.811,36,1,0,0.003
wescon-tools,2026-06-30 16:05:18.814,2,1,0,0.003
wescon-tools,2026-06-30 16:06:42.801,774,1,0,0.020
wescon-tools,2026-06-30 16:06:42.807,774,1,0,0.005
wescon-tools,2026-06-30 16:06:42.811,18,1,0,0.004
wescon-tools,2026-06-30 16:06:43.213,1465,2,0,0.021
wescon-tools,2026-06-30 16:06:43.219,18,1,0,0.004
wescon-tools,2026-06-30 16:06:43.222,18,1,0,0.003
wescon-tools,2026-06-30 16:06:43.226,216,1,0,0.003
wescon-tools,2026-06-30 16:06:43.229,36,1,0,0.003
wescon-tools,2026-06-30 16:06:43.233,2,1,0,0.003
wescon-tools,2026-06-30 16:08:01.109,774,1,774,2.052
wescon-tools,2026-06-30 16:08:02.062,774,1,774,0.933
wescon-tools,2026-06-30 16:08:02.091,18,1,18,0.023
wescon-tools,2026-06-30 16:08:08.513,1465,2,1465,5.428
wescon-tools,2026-06-30 16:08:08.685,18,1,18,0.038
wescon-tools,2026-06-30 16:08:08.735,18,1,18,0.048
wescon-tools,2026-06-30 16:08:09.066,216,1,216,0.310
wescon-tools,2026-06-30 16:08:09.180,36,1,36,0.095
wescon-tools,2026-06-30 16:08:09.209,2,1,2,0.023
wescon-tools,2026-06-30 16:08:10.454,774,1,774,1.240
wescon-tools,2026-06-30 16:08:11.841,774,1,774,1.386
wescon-tools,2026-06-30 16:08:11.860,18,1,18,0.018
wescon-tools,2026-06-30 16:08:16.071,1465,2,1465,3.749
wescon-tools,2026-06-30 16:08:16.154,18,1,18,0.077
wescon-tools,2026-06-30 16:08:16.199,18,1,18,0.043
wescon-tools,2026-06-30 16:08:16.429,216,1,216,0.226
wescon-tools,2026-06-30 16:08:16.523,36,1,36,0.094
wescon-tools,2026-06-30 16:08:16.551,2,1,2,0.028
wescon-tools,2026-06-30 16:08:31.438,774,1,774,0.585
wescon-tools,2026-06-30 16:08:31.965,774,1,774,0.511
wescon-tools,2026-06-30 16:08:32.002,18,1,18,0.029
wescon-tools,2026-06-30 16:08:35.357,1465,2,1465,2.919
wescon-tools,2026-06-30 16:08:35.483,18,1,18,0.027
wescon-tools,2026-06-30 16:08:35.505,18,1,18,0.016
wescon-tools,2026-06-30 16:08:35.632,216,1,216,0.109
wescon-tools,2026-06-30 16:08:35.680,36,1,36,0.026
wescon-tools,2026-06-30 16:08:35.691,2,1,2,0.005
wescon-tools,2026-06-30 16:08:36.229,774,1,774,0.534
wescon-tools,2026-06-30 16:08:36.719,774,1,774,0.488
wescon-tools,2026-06-30 16:08:36.733,18,1,18,0.013
wescon-tools,2026-06-30 16:08:38.936,1465,2,1465,1.635
wescon-tools,2026-06-30 16:08:38.960,18,1,18,0.022
wescon-tools,2026-06-30 16:08:38.978,18,1,18,0.016
wescon-tools,2026-06-30 16:08:39.078,216,1,216,0.099
wescon-tools,2026-06-30 16:08:39.105,36,1,36,0.026
wescon-tools,2026-06-30 16:08:39.110,2,1,2,0.005
wescon-tools,2026-06-30 16:11:01.432,774,1,774,0.699
wescon-tools,2026-06-30 16:11:01.999,774,1,774,0.550
wescon-tools,2026-06-30 16:11:02.030,18,1,18,0.024
wescon-tools,2026-06-30 16:11:06.905,1465,2,1465,3.741
wescon-tools,2026-06-30 16:11:07.114,18,1,18,0.029
wescon-tools,2026-06-30 16:11:07.136,18,1,18,0.018
wescon-tools,2026-06-30 16:11:07.277,216,1,216,0.122
wescon-tools,2026-06-30 16:11:07.327,36,1,36,0.032
wescon-tools,2026-06-30 16:11:07.338,2,1,2,0.005
wescon-tools,2026-06-30 16:11:08.008,774,1,774,0.667
wescon-tools,2026-06-30 16:11:08.520,774,1,774,0.510
wescon-tools,2026-06-30 16:11:08.541,18,1,18,0.019
wescon-tools,2026-06-30 16:11:11.325,1465,2,1465,2.147
wescon-tools,2026-06-30 16:11:11.361,18,1,18,0.035
wescon-tools,2026-06-30 16:11:11.379,18,1,18,0.017
wescon-tools,2026-06-30 16:11:11.550,216,1,216,0.168
wescon-tools,2026-06-30 16:11:11.593,36,1,36,0.043
wescon-tools,2026-06-30 16:11:11.601,2,1,2,0.008
wescon-tools,2026-06-30 16:19:19.745,774,1,774,3.579
wescon-tools,2026-06-30 16:19:23.548,774,1,774,3.770
